Location,Longitude,Latitude,Name,City,SSID,Postcode,Type,Provider
Park Perimeter,-73.7841200005,40.6748599999,Baisley Pond Park,Queens,GuestWiFi,11434,Limited Free,SPECTRUM
Park Perimeter,-73.8181499997,40.7475599996,Kissena Park,Queens,GuestWiFi,11355,Limited Free,SPECTRUM
Grand St (L),-73.9406699994,40.7119259997,Grand St (L),Brooklyn,TransitWirelessWiFi,11206,Free,Transit Wireless
125 Court St.,-73.9919950004,40.6899850001,,Brooklyn,Downtown Brooklyn WiFi,11201,Free,Downtown Brooklyn
Lexington Av-63 St (F),-73.9661150001,40.7646300002,Lexington Av-63 St (F),New York,TransitWirelessWiFi,10065,Free,Transit Wireless
Park Perimeter,-73.8115100003,40.7424300003,Kissena Park,Queens,GuestWiFi,11355,Limited Free,SPECTRUM
Pole 94 - LenWS1N133,-73.9416929996,40.812944,,New York,Harlem Wi-Fi,10037,Free,Harlem
380 WASHINGTON AVENUE,-73.966030666,40.6873790941,Clinton Hill - Brooklyn Public Library,Brooklyn,BPLUNWIRED,11238,Free,BPL
Halsey St (L),-73.9040840004,40.6956020001,Halsey St (L),Brooklyn,TransitWirelessWiFi,11385,Free,Transit Wireless
"Broadway Junction (A,C,J,L,Z)",-73.9053160001,40.6783340002,"Broadway Junction (A,C,J,L,Z)",Brooklyn,TransitWirelessWiFi,11233,Free,Transit Wireless
CROTONA PARK C/O EAST 173RD ST AND FULTON AVE,-73.8983720002,40.8406639999,Crotona Park,Bronx,GuestWiFi,10457,Limited Free,ALTICEUSA
Liggett B Food Court,-74.0199599995,40.6903899996,Governors Island,New York,Governors Island,10004,Free,Fiberless
pole 51n - 131NWC5th,-73.9395100003,40.81026,,New York,Harlem Wi-Fi,10037,Free,Harlem
181 Court Street,-73.9931469103,40.6879008003,bk-02-126166,Brooklyn,LinkNYC Free Wi-Fi,11201,Free,LinkNYC - Citybridge
620 ATLANTIC AVENUE,-73.9770060002,40.6836250004,bk-02-126505,Brooklyn,LinkNYC Free Wi-Fi,11217,Free,LinkNYC - Citybridge
19 SEAVIEW AVENUE,-74.1007320003,40.5909830002,si-02-125476,Staten Island,LinkNYC Free Wi-Fi,10304,Free,LinkNYC - Citybridge
8 THOMAS S BOYLAND STREET,-73.915132416,40.6848100477,Saratoga - Brooklyn Public Library,Brooklyn,BPLUNWIRED,11233,Free,BPL
